"Supplementary Table 4. IER, proportion and size of the 65+ year old Medicare population, and proportion of the deaths among the 65+ year old Medicare population that are expected to exceed K-fold of US average risk within each of the 3113 US counties",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
01019,34.069515,-85.654242,Alabama,Cherokee County,3060,"2.66 (2.52, 3.29)","69.4% (66.3%, 76.6%)","  2,125 (2,030, 2,343)","46.4% (43.4%, 55.4%)","  1,420 (1,326, 1,696)","12.2% (11.0%, 18.0%)","    374 (337, 550)","2.4% (2.1%, 4.3%)","     73 (65, 133)","91.3% (90.1%, 94.5%)","77.7% (75.8%, 84.3%)","37.8% (35.9%, 48.3%)","13.0% (12.3%, 20.3%)"
01021,32.854059,-86.726627,Alabama,Chilton County,3748,"3.46 (3.27, 4.24)","77.2% (74.2%, 82.8%)","  2,892 (2,782, 3,102)","56.8% (53.6%, 64.7%)","  2,128 (2,008, 2,426)","19.5% (17.8%, 26.2%)","    732 (669, 980)","5.1% (4.6%, 8.1%)","    191 (171, 304)","94.9% (94.1%, 96.8%)","85.6% (84.0%, 90.0%)","51.3% (49.3%, 60.7%)","22.8% (21.6%, 31.3%)"
01023,31.991008,-88.248887,Alabama,Choctaw County,1580,"5.81 (5.55, 7.11)","87.1% (85.1%, 90.3%)","  1,377 (1,345, 1,427)","72.8% (70.2%, 78.3%)","  1,151 (1,110, 1,238)","37.0% (34.6%, 44.3%)","    584 (547, 699)","14.8% (13.8%, 20.0%)","    234 (218, 316)","98.2% (97.9%, 98.9%)","94.3% (93.6%, 96.2%)","73.9% (72.6%, 80.2%)","47.2% (46.2%, 56.3%)"
01025,31.685521,-87.818624,Alabama,Clarke County,2570,"5.37 (5.14, 6.53)","86.3% (84.2%, 89.7%)","  2,217 (2,164, 2,305)","71.1% (68.5%, 77.0%)","  1,828 (1,761, 1,977)","34.4% (32.2%, 41.7%)","    883 (829, 1,071)","12.9% (12.1%, 17.8%)","    333 (311, 457)","98.0% (97.6%, 98.7%)","93.5% (92.7%, 95.6%)","70.9% (69.6%, 77.7%)","43.1% (42.1%, 52.3%)"
01027,33.267809,-85.862051,Alabama,Clay County,1424,"3.64 (3.44, 4.45)","78.3% (75.6%, 83.7%)","  1,116 (1,076, 1,192)","58.5% (55.3%, 66.3%)","    833 (787, 944)","21.1% (19.4%, 27.9%)","    300 (276, 397)","5.8% (5.2%, 9.0%)","     82 (74, 128)","95.4% (94.6%, 97.1%)","86.7% (85.4%, 90.8%)","53.8% (51.9%, 63.0%)","25.0% (23.7%, 33.6%)"
01029,33.671981,-85.516109,Alabama,Cleburne County,1513,"2.67 (2.51, 3.28)","68.2% (65.1%, 75.4%)","  1,032 (985, 1,140)","45.7% (42.6%, 54.4%)","    691 (645, 823)","12.4% (11.1%, 17.9%)","    188 (167, 271)","2.6% (2.2%, 4.5%)","     39 (34, 68)","91.2% (89.9%, 94.3%)","77.9% (75.7%, 84.2%)","39.1% (36.8%, 49.0%)","14.3% (13.1%, 21.2%)"
01031,31.402183,-85.989201,Alabama,Coffee County,4390,"3.07 (2.9, 3.78)","71.3% (68.3%, 77.6%)","  3,130 (3,000, 3,405)","50.2% (47.2%, 58.4%)","  2,206 (2,071, 2,565)","16.1% (14.7%, 22.1%)","    706 (644, 971)","4.0% (3.6%, 6.6%)","    178 (160, 289)","93.1% (92.1%, 95.5%)","82.3% (80.6%, 87.4%)","47.1% (45.3%, 56.8%)","20.4% (19.4%, 28.7%)"
01033,34.703112,-87.801457,Alabama,Colbert County,5453,"3.79 (3.59, 4.65)","78.5% (75.6%, 83.6%)","  4,278 (4,125, 4,557)","59.2% (56.0%, 66.6%)","  3,229 (3,055, 3,631)","22.3% (20.5%, 29.2%)","  1,217 (1,120, 1,590)","6.5% (5.9%, 10.0%)","    355 (323, 544)","95.6% (94.9%, 97.2%)","87.6% (86.3%, 91.4%)","56.3% (54.6%, 65.4%)","27.7% (26.5%, 36.6%)"
01035,31.428292,-86.992029,Alabama,Conecuh County,1510,"6.12 (5.88, 7.49)","87.9% (85.9%, 90.9%)","  1,327 (1,297, 1,373)","74.2% (71.6%, 79.5%)","  1,120 (1,082, 1,200)","38.8% (36.4%, 46.0%)","    586 (550, 695)","16.1% (15.1%, 21.5%)","    243 (228, 324)","98.4% (98.1%, 99.0%)","94.9% (94.2%, 96.5%)","75.7% (74.5%, 81.7%)","49.6% (48.6%, 58.8%)"
01037,32.931445,-86.243482,Alabama,Coosa County,1328,"4.39 (4.17, 5.41)","81.6% (79.1%, 86.1%)","  1,084 (1,051, 1,143)","64.1% (61.0%, 70.8%)","    851 (810, 940)","27.1% (25.2%, 34.3%)","    360 (334, 455)","8.9% (8.2%, 13.2%)","    119 (109, 175)","96.8% (96.2%, 97.9%)","90.4% (89.3%, 93.4%)","63.1% (61.5%, 71.5%)","34.5% (33.3%, 44.1%)"
01039,31.243987,-86.448721,Alabama,Covington County,4049,"4.16 (3.93, 5.11)","79.5% (77.0%, 84.5%)","  3,221 (3,117, 3,422)","61.4% (58.4%, 68.6%)","  2,487 (2,365, 2,778)","25.2% (23.2%, 32.1%)","  1,018 (941, 1,299)","8.1% (7.3%, 11.9%)","    329 (297, 483)","96.2% (95.7%, 97.6%)","89.3% (88.2%, 92.6%)","61.2% (59.2%, 69.4%)","32.9% (31.1%, 41.8%)"
01041,31.732826,-86.319222,Alabama,Crenshaw County,1352,"4.27 (4.06, 5.27)","80.3% (77.7%, 84.9%)","  1,085 (1,050, 1,148)","62.4% (59.4%, 69.3%)","    844 (803, 937)","26.0% (24.2%, 33.1%)","    352 (327, 447)","8.6% (7.9%, 12.7%)","    116 (107, 171)","96.5% (95.9%, 97.7%)","89.8% (88.8%, 93.0%)","62.3% (60.7%, 70.8%)","34.0% (32.9%, 43.5%)"
01043,34.131923,-86.869267,Alabama,Cullman County,7604,"2.39 (2.25, 2.94)","65.9% (62.6%, 73.7%)","  5,012 (4,760, 5,601)","41.9% (38.9%, 51.3%)","  3,190 (2,955, 3,899)","9.6% (8.5%, 14.7%)","    732 (647, 1,114)","1.6% (1.4%, 3.1%)","    124 (107, 237)","89.3% (87.8%, 93.1%)","73.6% (71.2%, 81.0%)","31.9% (29.8%, 42.2%)","9.6% (8.8%, 15.6%)"
01045,31.430654,-85.609476,Alabama,Dale County,4311,"3.91 (3.7, 4.8)","79.2% (76.5%, 84.2%)","  3,414 (3,298, 3,628)","60.3% (57.1%, 67.6%)","  2,600 (2,463, 2,914)","23.3% (21.5%, 30.2%)","  1,006 (928, 1,301)","7.0% (6.4%, 10.6%)","    301 (275, 456)","95.9% (95.2%, 97.4%)","88.3% (87.0%, 91.9%)","57.9% (56.0%, 66.6%)","29.1% (27.9%, 38.1%)"
01047,32.33354,-87.114356,Alabama,Dallas County,3978,"6.65 (6.37, 8.14)","90.5% (88.7%, 93.0%)","  3,602 (3,528, 3,701)","78.2% (75.5%, 83.0%)","  3,110 (3,003, 3,301)","42.9% (40.3%, 50.4%)","  1,706 (1,605, 2,007)","18.3% (17.1%, 24.2%)","    728 (680, 963)","98.8% (98.6%, 99.3%)","95.9% (95.3%, 97.3%)","78.1% (76.9%, 83.8%)","52.1% (51.0%, 61.2%)"
01049,34.460929,-85.803992,Alabama,DeKalb County,6261,"3.08 (2.92, 3.76)","75.3% (72.3%, 81.4%)","  4,713 (4,524, 5,098)","53.3% (49.9%, 61.8%)","  3,338 (3,127, 3,869)","16.0% (14.5%, 22.3%)","  1,004 (907, 1,395)","3.5% (3.1%, 6.0%)","    221 (196, 375)","93.8% (92.7%, 96.0%)","82.5% (80.7%, 87.7%)","44.4% (42.3%, 54.4%)","17.0% (16.0%, 24.6%)"
01051,32.597229,-86.142738,Alabama,Elmore County,6294,"2.48 (2.33, 3.08)","65.1% (61.3%, 72.7%)","  4,097 (3,855, 4,578)","42.3% (39.1%, 51.3%)","  2,663 (2,462, 3,230)","10.8% (9.7%, 16.1%)","    680 (609, 1,014)","2.1% (1.9%, 3.9%)","    134 (118, 246)","89.7% (88.3%, 93.3%)","75.3% (73.1%, 82.4%)","36.0% (34.1%, 46.3%)","12.5% (11.7%, 19.5%)"
01053,31.121747,-87.168429,Alabama,Escambia County,3464,"4.86 (4.66, 5.96)","84.8% (82.5%, 88.5%)","  2,939 (2,858, 3,066)","68.5% (65.8%, 74.7%)","  2,374 (2,279, 2,588)","30.9% (28.9%, 38.3%)","  1,071 (1,000, 1,327)","10.7% (10.1%, 15.4%)","    372 (349, 533)","97.5% (97.1%, 98.4%)","92.2% (91.3%, 94.7%)","66.8% (65.6%, 74.6%)","38.0% (37.5%, 47.8%)"
01055,34.047638,-86.03442,Alabama,Etowah County,10043,"3.66 (3.46, 4.49)","78.2% (75.3%, 83.5%)","  7,854 (7,564, 8,383)","58.5% (55.3%, 66.1%)","  5,874 (5,550, 6,643)","21.2% (19.5%, 28.1%)","  2,132 (1,960, 2,822)","5.9% (5.4%, 9.2%)","    591 (540, 925)","95.4% (94.7%, 97.1%)","86.8% (85.5%, 90.9%)","54.2% (52.5%, 63.6%)","25.5% (24.5%, 34.4%)"
01057,33.732249,-87.752049,Alabama,Fayette County,1837,"3.58 (3.39, 4.39)","78.1% (75.2%, 83.4%)","  1,435 (1,381, 1,532)","58.1% (54.8%, 65.8%)","  1,067 (1,006, 1,209)","20.6% (18.9%, 27.4%)","    378 (347, 503)","5.5% (5.0%, 8.7%)","    101 (93, 161)","95.2% (94.5%, 97.0%)","86.4% (85.0%, 90.6%)","52.9% (51.1%, 62.4%)","24.1% (23.2%, 33.0%)"
01059,34.441988,-87.842815,Alabama,Franklin County,2710,"3.89 (3.68, 4.71)","81.2% (78.9%, 86.0%)","  2,201 (2,139, 2,331)","62.1% (59.2%, 69.5%)","  1,684 (1,605, 1,882)","23.4% (21.5%, 30.3%)","    633 (583, 822)","6.6% (5.9%, 9.9%)","    178 (161, 269)","96.2% (95.5%, 97.6%)","88.4% (87.1%, 92.0%)","56.3% (54.4%, 65.0%)","26.6% (25.3%, 35.2%)"
01061,31.090866,-85.824346,Alabama,Geneva County,2766,"3.62 (3.43, 4.44)","77.9% (75.0%, 83.2%)","  2,154 (2,076, 2,302)","58.1% (54.9%, 65.8%)","  1,606 (1,517, 1,819)","20.9% (19.2%, 27.6%)","    578 (531, 764)","5.8% (5.2%, 9.0%)","    159 (144, 248)","95.3% (94.5%, 97.0%)","86.6% (85.2%, 90.7%)","53.8% (51.9%, 63.1%)","25.1% (23.9%, 33.7%)"
01063,32.844497,-87.9642,Alabama,Greene County,1013,"7.9 (7.49, 9.6)","93.2% (91.9%, 95.3%)","    945 (931, 965)","83.1% (81.0%, 87.3%)","    842 (820, 884)","50.0% (47.3%, 57.5%)","    507 (479, 583)","23.4% (21.8%, 29.9%)","    237 (220, 303)","99.3% (99.1%, 99.6%)","97.2% (96.8%, 98.2%)","83.1% (81.6%, 87.6%)","59.1% (57.3%, 67.3%)"
01065,32.752796,-87.623061,Alabama,Hale County,1502,"6.57 (6.29, 8.03)","89.3% (87.5%, 92.1%)","  1,341 (1,314, 1,383)","76.5% (74.1%, 81.5%)","  1,149 (1,113, 1,225)","41.6% (39.2%, 48.9%)","    625 (589, 735)","17.9% (16.7%, 23.6%)","    269 (252, 354)","98.7% (98.4%, 99.2%)","95.6% (95.0%, 97.1%)","77.9% (76.7%, 83.5%)","52.5% (51.1%, 61.3%)"
01067,31.516978,-85.239971,Alabama,Henry County,2021,"3.2 (3.03, 3.95)","72.3% (69.3%, 78.3%)","  1,460 (1,400, 1,583)","51.6% (48.7%, 59.6%)","  1,043 (984, 1,205)","17.2% (15.8%, 23.5%)","    348 (319, 474)","4.5% (4.1%, 7.3%)","     92 (84, 147)","93.6% (92.7%, 95.8%)","83.4% (81.9%, 88.3%)","49.4% (47.8%, 59.0%)","22.3% (21.5%, 31.0%)"
01069,31.158193,-85.296398,Alabama,Houston County,9379,"3.76 (3.57, 4.62)","78.2% (75.5%, 83.3%)","  7,337 (7,077, 7,815)","58.9% (55.8%, 66.3%)","  5,526 (5,231, 6,219)","22.1% (20.3%, 28.8%)","  2,072 (1,908, 2,706)","6.4% (5.9%, 9.8%)","    601 (549, 922)","95.6% (94.8%, 97.1%)","87.4% (86.1%, 91.3%)","56.0% (54.4%, 65.1%)","27.4% (26.4%, 36.4%)"
01071,34.763522,-85.9774,Alabama,Jackson County,5422,"3.19 (3.02, 3.91)","76.3% (73.4%, 82.2%)","  4,139 (3,977, 4,457)","54.8% (51.4%, 63.1%)","  2,970 (2,789, 3,422)","17.1% (15.5%, 23.6%)","    925 (841, 1,278)","3.9% (3.5%, 6.6%)","    211 (191, 358)","94.2% (93.3%, 96.3%)","83.5% (81.8%, 88.5%)","46.1% (44.3%, 56.4%)","18.2% (17.4%, 26.4%)"
01073,33.553444,-86.896536,Alabama,Jefferson County,53701,"4.46 (4.23, 5.47)","81.4% (79.0%, 85.8%)"," 43,689 (42,413, 46,082)","64.0% (60.9%, 70.6%)"," 34,362 (32,729, 37,932)","27.5% (25.4%, 34.5%)"," 14,765 (13,664, 18,501)","9.3% (8.5%, 13.4%)","  5,007 (4,578, 7,218)","96.8% (96.2%, 97.9%)","90.6% (89.5%, 93.5%)","64.1% (62.3%, 72.0%)","35.8% (34.5%, 45.0%)"
01075,33.787085,-88.087431,Alabama,Lamar County,1566,"3.65 (3.45, 4.47)","78.4% (75.6%, 83.7%)","  1,227 (1,184, 1,311)","58.6% (55.4%, 66.3%)","    918 (867, 1,039)","21.2% (19.5%, 28.0%)","    332 (305, 438)","5.8% (5.2%, 9.1%)","     92 (82, 143)","95.4% (94.7%, 97.1%)","86.8% (85.4%, 90.9%)","54.1% (52.1%, 63.3%)","25.2% (23.9%, 33.9%)"
01077,34.904122,-87.650997,Alabama,Lauderdale County,9504,"2.63 (2.48, 3.23)","67.5% (64.4%, 74.7%)","  6,415 (6,122, 7,099)","44.9% (41.9%, 53.8%)","  4,271 (3,984, 5,108)","12.1% (10.8%, 17.5%)","  1,152 (1,031, 1,661)","2.5% (2.2%, 4.4%)","    239 (209, 415)","90.9% (89.6%, 94.0%)","77.4% (75.3%, 83.7%)","38.6% (36.5%, 48.4%)","14.1% (13.0%, 20.9%)"
01079,34.529776,-87.321865,Alabama,Lawrence County,3207,"3.7 (3.53, 4.57)","79.0% (76.1%, 84.0%)","  2,534 (2,440, 2,694)","59.4% (56.1%, 66.9%)","  1,905 (1,798, 2,144)","21.7% (20.1%, 28.7%)","    695 (644, 920)","6.0% (5.6%, 9.6%)","    192 (179, 308)","95.6% (94.9%, 97.2%)","87.2% (85.9%, 91.2%)","54.5% (53.2%, 64.4%)","25.5% (25.0%, 35.0%)"
01081,32.604064,-85.353048,Alabama,Lee County,9365,"3.48 (3.31, 4.27)","77.1% (74.2%, 82.5%)","  7,223 (6,949, 7,723)","56.8% (53.6%, 64.6%)","  5,323 (5,021, 6,047)","19.7% (18.2%, 26.4%)","  1,847 (1,700, 2,472)","5.2% (4.8%, 8.3%)","    487 (445, 776)","94.9% (94.1%, 96.8%)","85.7% (84.3%, 90.1%)","51.7% (50.1%, 61.4%)","23.2% (22.5%, 32.2%)"
01083,34.810239,-86.981399,Alabama,Limestone County,6770,"2.67 (2.53, 3.3)","68.3% (65.1%, 75.3%)","  4,624 (4,410, 5,098)","45.7% (42.7%, 54.6%)","  3,097 (2,891, 3,696)","12.5% (11.3%, 18.1%)","    843 (767, 1,223)","2.6% (2.3%, 4.6%)","    176 (157, 311)","91.2% (90.0%, 94.3%)","77.9% (76.1%, 84.3%)","39.1% (37.4%, 49.4%)","14.3% (13.6%, 21.6%)"
01085,32.147888,-86.650586,Alabama,Lowndes County,1061,"6.85 (6.54, 8.36)","91.6% (89.9%, 93.9%)","    972 (954, 996)","79.8% (77.3%, 84.5%)","    847 (820, 897)","44.6% (41.9%, 52.2%)","    473 (445, 554)","19.1% (17.8%, 25.2%)","    203 (189, 267)","99.0% (98.8%, 99.4%)","96.2% (95.6%, 97.6%)","79.0% (77.6%, 84.5%)","52.8% (51.4%, 61.8%)"
01087,32.387027,-85.692887,Alabama,Macon County,2097,"7.65 (7.28, 9.29)","94.1% (92.8%, 95.9%)","  1,972 (1,945, 2,010)","84.2% (81.9%, 88.2%)","  1,766 (1,718, 1,849)","50.2% (47.3%, 57.9%)","  1,052 (992, 1,214)","22.6% (21.0%, 29.2%)","    475 (441, 613)","99.3% (99.2%, 99.6%)","97.3% (96.8%, 98.3%)","82.2% (80.8%, 87.1%)","56.6% (54.9%, 65.2%)"
01089,34.764238,-86.55108,Alabama,Madison County,26540,"2.85 (2.68, 3.52)","68.4% (64.7%, 75.3%)"," 18,153 (17,160, 19,993)","47.0% (43.6%, 55.5%)"," 12,469 (11,568, 14,738)","14.2% (12.8%, 20.0%)","  3,774 (3,407, 5,299)","3.4% (3.0%, 5.8%)","    906 (806, 1,526)","91.9% (90.8%, 94.7%)","80.1% (78.2%, 85.8%)","44.1% (42.0%, 54.0%)","18.4% (17.2%, 26.4%)"
01091,32.247591,-87.791091,Alabama,Marengo County,2018,"6.18 (5.91, 7.54)","88.3% (86.3%, 91.2%)","  1,781 (1,742, 1,841)","74.7% (72.2%, 80.0%)","  1,507 (1,456, 1,615)","39.3% (37.0%, 46.6%)","    792 (747, 941)","16.3% (15.2%, 21.7%)","    329 (307, 437)","98.5% (98.2%, 99.1%)","95.0% (94.3%, 96.6%)","76.0% (74.6%, 81.9%)","49.8% (48.6%, 58.9%)"
01093,34.138219,-87.881551,Alabama,Marion County,3267,"3.36 (3.17, 4.1)","77.0% (74.2%, 82.7%)","  2,515 (2,423, 2,703)","56.1% (52.8%, 64.3%)","  1,834 (1,725, 2,099)","18.6% (16.9%, 25.1%)","    607 (552, 820)","4.6% (4.1%, 7.4%)","    150 (133, 243)","94.7% (93.8%, 96.6%)","84.8% (83.2%, 89.4%)","49.2% (47.1%, 58.9%)","20.8% (19.5%, 28.9%)"
01095,34.309564,-86.321668,Alabama,Marshall County,8162,"3.19 (3.01, 3.88)","75.5% (72.6%, 81.6%)","  6,166 (5,926, 6,661)","54.1% (50.8%, 62.5%)","  4,419 (4,149, 5,099)","17.1% (15.5%, 23.4%)","  1,394 (1,264, 1,907)","4.0% (3.5%, 6.6%)","    328 (289, 537)","94.1% (93.1%, 96.2%)","83.5% (81.7%, 88.4%)","46.7% (44.4%, 56.3%)","18.9% (17.7%, 26.6%)"
01097,30.684573,-88.196568,Alabama,Mobile County,34458,"4.81 (4.59, 5.85)","84.4% (82.2%, 88.3%)"," 29,090 (28,327, 30,417)","68.0% (65.3%, 74.3%)"," 23,420 (22,494, 25,587)","30.5% (28.4%, 37.7%)"," 10,499 (9,799, 12,995)","10.6% (9.8%, 15.0%)","  3,637 (3,388, 5,157)","97.4% (97.0%, 98.4%)","92.0% (91.1%, 94.5%)","66.5% (65.1%, 74.0%)","37.7% (36.7%, 47.1%)"
01099,31.580332,-87.383266,Alabama,Monroe County,2349,"5.74 (5.48, 6.97)","86.5% (84.4%, 89.8%)","  2,032 (1,983, 2,110)","72.0% (69.4%, 77.5%)","  1,691 (1,631, 1,821)","36.3% (34.1%, 43.5%)","    852 (801, 1,021)","14.5% (13.5%, 19.5%)","    341 (317, 458)","98.1% (97.8%, 98.8%)","94.1% (93.4%, 96.0%)","73.6% (72.2%, 79.8%)","47.0% (45.9%, 56.0%)"
01101,32.20365,-86.203831,Alabama,Montgomery County,17769,"5.53 (5.27, 6.74)","86.9% (84.9%, 90.2%)"," 15,443 (15,090, 16,030)","72.1% (69.6%, 77.8%)"," 12,819 (12,360, 13,833)","35.5% (33.2%, 42.8%)","  6,303 (5,905, 7,605)","13.6% (12.6%, 18.6%)","  2,416 (2,240, 3,308)","98.1% (97.8%, 98.8%)","93.8% (93.1%, 95.9%)","72.0% (70.6%, 78.5%)","44.3% (43.1%, 53.5%)"
01103,34.454484,-86.846402,Alabama,Morgan County,10680,"3.35 (3.17, 4.09)","76.5% (73.5%, 82.1%)","  8,165 (7,848, 8,767)","55.6% (52.4%, 63.6%)","  5,943 (5,596, 6,787)","18.5% (16.9%, 25.0%)","  1,976 (1,806, 2,669)","4.6% (4.2%, 7.5%)","    495 (447, 803)","94.6% (93.7%, 96.5%)","84.7% (83.2%, 89.3%)","49.4% (47.6%, 59.2%)","21.2% (20.2%, 29.6%)"
01105,32.639005,-87.293827,Alabama,Perry County,1010,"7.71 (7.35, 9.42)","91.8% (90.3%, 94.1%)","    927 (912, 950)","80.9% (78.5%, 85.3%)","    817 (793, 861)","47.8% (45.1%, 55.2%)","    483 (456, 557)","22.5% (20.9%, 28.7%)","    227 (211, 289)","99.1% (98.9%, 99.5%)","96.9% (96.4%, 98.0%)","82.4% (81.2%, 87.1%)","59.1% (57.6%, 67.3%)"
01107,33.296808,-88.096878,Alabama,Pickens County,1936,"5.49 (5.27, 6.72)","86.4% (84.4%, 89.8%)","  1,673 (1,634, 1,738)","71.5% (69.0%, 77.3%)","  1,385 (1,335, 1,496)","35.1% (32.9%, 42.4%)","    679 (637, 821)","13.5% (12.7%, 18.5%)","    261 (245, 358)","98.0% (97.7%, 98.8%)","93.7% (93.0%, 95.8%)","71.9% (70.6%, 78.6%)","44.4% (43.5%, 53.8%)"
01109,31.798726,-85.941997,Alabama,Pike County,2519,"5.14 (4.92, 6.28)","85.3% (83.3%, 88.9%)","  2,150 (2,098, 2,240)","69.7% (67.1%, 75.7%)","  1,755 (1,690, 1,907)","32.7% (30.7%, 40.0%)","    824 (772, 1,008)","12.0% (11.2%, 16.7%)","    302 (283, 421)","97.7% (97.4%, 98.6%)","92.9% (92.1%, 95.2%)","69.3% (67.9%, 76.4%)","41.2% (40.3%, 50.6%)"
01111,33.296475,-85.464068,Alabama,Randolph County,2363,"4.26 (4.06, 5.19)","83.0% (80.7%, 87.3%)","  1,962 (1,908, 2,063)","65.1% (62.3%, 72.0%)","  1,539 (1,472, 1,702)","26.5% (24.6%, 33.7%)","    627 (581, 797)","8.1% (7.6%, 12.1%)","    192 (179, 286)","96.8% (96.3%, 98.0%)","90.2% (89.0%, 93.3%)","60.8% (59.5%, 69.3%)","31.0% (30.3%, 40.3%)"
