"Supplementary Table 3. IER, proportion and size of the general adult population, and proportion of the deaths that are expected to exceed K-fold of US average risk within each of the 477 US cities",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0454050,33.7847206422,-112.298680584,AZ,Peoria,168174,"0.9 (0.84, 0.97)","16.2% (15.9%, 18.0%)","   27,262 (26,659, 30,193)","10.4% (10.0%, 11.5%)","   17,485 (16,885, 19,335)","4.2% (3.8%, 4.6%)","  6,980 (6,315, 7,733)","1.3% (1.0%, 1.5%)","  2,255 (1,697, 2,579)","77.4% (75.2%, 79.0%)","67.5% (64.4%, 69.0%)","45.6% (40.4%, 47.1%)","23.8% (17.7%, 25.5%)"
0455000,33.5724138695,-112.088995222,AZ,Phoenix,1626085,"0.83 (0.77, 0.89)","14.1% (13.8%, 15.9%)","  229,956 (224,956, 258,981)","8.7% (8.3%, 9.7%)","  140,964 (135,832, 157,603)","3.5% (3.3%, 3.8%)"," 56,707 (52,969, 62,493)","1.4% (1.2%, 1.5%)"," 23,113 (19,420, 25,069)","78.4% (76.3%, 79.3%)","68.2% (65.3%, 68.7%)","48.9% (44.4%, 48.8%)","31.4% (25.6%, 31.2%)"
0465000,33.6872493651,-111.865085877,AZ,Scottsdale,249947,"0.96 (0.91, 1.04)","18.7% (18.3%, 20.5%)","   46,712 (45,757, 51,227)","12.1% (11.7%, 13.2%)","   30,264 (29,331, 33,079)","4.5% (4.0%, 4.9%)"," 11,163 (9,992, 12,326)","1.2% (0.9%, 1.4%)","  3,008 (2,246, 3,406)","77.7% (75.8%, 79.0%)","67.1% (64.5%, 68.4%)","42.0% (37.4%, 43.4%)","18.7% (13.9%, 19.9%)"
0471510,33.6803835177,-112.452218439,AZ,Surprise,134079,"1.14 (1.08, 1.26)","22.6% (22.2%, 24.4%)","   30,239 (29,794, 32,702)","15.4% (15.0%, 16.9%)","   20,714 (20,164, 22,602)","5.8% (5.3%, 6.7%)","  7,829 (7,084, 8,964)","1.6% (1.2%, 2.0%)","  2,177 (1,620, 2,691)","83.3% (81.8%, 85.0%)","73.7% (71.3%, 75.7%)","47.0% (41.8%, 50.2%)","21.6% (16.0%, 24.8%)"
0473000,33.3882640307,-111.931802302,AZ,Tempe,185025,"0.5 (0.48, 0.55)","9.3% (9.0%, 10.4%)","   17,219 (16,694, 19,198)","5.5% (5.2%, 6.1%)","   10,173 (9,722, 11,306)","2.0% (1.8%, 2.2%)","  3,622 (3,301, 4,062)","0.6% (0.5%, 0.7%)","  1,153 (895, 1,332)","71.6% (69.0%, 73.3%)","60.0% (56.7%, 61.5%)","38.2% (33.9%, 39.9%)","19.8% (15.1%, 21.3%)"
0477000,32.1567244483,-110.877085494,AZ,Tucson,535676,"1.22 (1.15, 1.29)","19.4% (19.3%, 21.2%)","  104,187 (103,500, 113,303)","12.9% (12.7%, 14.0%)","   69,252 (67,883, 75,052)","5.8% (5.6%, 6.3%)"," 31,075 (29,850, 33,530)","2.6% (2.3%, 2.8%)"," 13,947 (12,421, 14,990)","85.8% (84.5%, 86.3%)","77.6% (75.4%, 78.0%)","59.5% (55.7%, 59.6%)","41.1% (35.5%, 41.1%)"
0485540,32.5986027117,-114.54836837,AZ,Yuma,95494,"1.45 (1.32, 1.55)","22.6% (22.6%, 24.1%)","   21,572 (21,549, 23,033)","15.8% (15.5%, 16.9%)","   15,044 (14,758, 16,169)","7.3% (6.9%, 7.9%)","  6,967 (6,600, 7,544)","3.3% (2.8%, 3.6%)","  3,134 (2,642, 3,420)","88.9% (87.2%, 89.6%)","81.6% (78.7%, 82.5%)","63.3% (58.1%, 64.5%)","43.9% (35.8%, 45.2%)"
0523290,36.0712117312,-94.1659600436,AR,Fayetteville,85258,"0.61 (0.57, 0.64)","10.0% (9.6%, 10.6%)","    8,505 (8,165, 9,024)","6.6% (6.3%, 6.9%)","    5,603 (5,343, 5,894)","2.9% (2.8%, 3.1%)","  2,503 (2,355, 2,663)","1.1% (0.9%, 1.2%)","    948 (810, 1,033)","79.4% (77.3%, 79.9%)","70.8% (68.2%, 71.2%)","51.9% (48.5%, 52.8%)","30.8% (26.1%, 32.0%)"
0524550,35.3491692636,-94.3696317306,AR,Fort Smith,88028,"1.07 (0.98, 1.11)","18.4% (17.9%, 19.7%)","   16,167 (15,792, 17,353)","11.8% (11.3%, 12.6%)","   10,352 (9,934, 11,087)","4.9% (4.5%, 5.1%)","  4,296 (3,924, 4,493)","2.0% (1.6%, 2.1%)","  1,754 (1,433, 1,804)","82.4% (80.2%, 82.9%)","72.9% (69.7%, 73.1%)","52.9% (47.6%, 52.5%)","34.0% (27.5%, 33.4%)"
0535710,35.8208121538,-90.6794991686,AR,Jonesboro,75867,"0.94 (0.88, 1)","16.7% (16.3%, 17.7%)","   12,679 (12,387, 13,464)","11.2% (10.8%, 11.9%)","    8,507 (8,194, 9,033)","4.7% (4.3%, 5.0%)","  3,531 (3,286, 3,785)","1.7% (1.4%, 1.8%)","  1,277 (1,083, 1,398)","83.5% (81.8%, 84.2%)","74.4% (72.1%, 75.3%)","52.4% (48.7%, 53.7%)","30.3% (25.5%, 32.2%)"
0541000,34.7253957894,-92.3583751863,AR,Little Rock,198594,"1.27 (1.19, 1.36)","19.3% (18.9%, 21.1%)","   38,269 (37,619, 41,983)","12.7% (12.4%, 14.0%)","   25,204 (24,536, 27,719)","5.7% (5.4%, 6.2%)"," 11,231 (10,752, 12,305)","2.7% (2.4%, 3.0%)","  5,320 (4,842, 5,875)","86.0% (84.7%, 86.9%)","78.0% (76.0%, 78.9%)","60.8% (57.4%, 61.6%)","44.2% (39.6%, 45.2%)"
0566080,36.1869932598,-94.1536274531,AR,Springdale,82397,"0.91 (0.85, 0.95)","15.8% (15.6%, 17.3%)","   13,046 (12,847, 14,220)","10.0% (9.7%, 10.8%)","    8,211 (7,974, 8,926)","4.0% (3.7%, 4.3%)","  3,287 (3,070, 3,532)","1.6% (1.3%, 1.7%)","  1,321 (1,102, 1,398)","80.8% (78.8%, 81.5%)","70.9% (67.7%, 71.3%)","50.5% (45.6%, 50.5%)","32.1% (25.7%, 31.8%)"
0600562,37.7650849031,-122.266489842,CA,Alameda,79188,"0.85 (0.74, 1.01)","15.3% (14.5%, 17.7%)","   12,123 (11,461, 14,012)","9.7% (9.0%, 11.4%)","    7,713 (7,156, 9,037)","4.0% (3.2%, 4.8%)","  3,124 (2,554, 3,777)","1.3% (0.8%, 1.8%)","  1,060 (607, 1,459)","78.1% (73.6%, 81.7%)","68.1% (62.3%, 72.2%)","46.8% (37.6%, 52.2%)","25.4% (14.5%, 31.9%)"
0600884,34.0839734383,-118.135514119,CA,Alhambra,85391,"1.6 (1.38, 1.83)","23.3% (22.7%, 25.7%)","   19,935 (19,368, 21,965)","16.3% (15.6%, 18.2%)","   13,952 (13,350, 15,563)","8.5% (7.8%, 9.5%)","  7,223 (6,668, 8,114)","3.9% (3.0%, 4.7%)","  3,367 (2,534, 3,987)","88.2% (85.5%, 90.0%)","81.5% (77.5%, 83.7%)","66.0% (59.2%, 68.7%)","45.9% (34.0%, 50.0%)"
0602000,33.8389076996,-117.857613481,CA,Anaheim,352456,"0.83 (0.77, 0.9)","14.2% (13.9%, 15.9%)","   50,094 (49,064, 56,185)","8.7% (8.4%, 9.8%)","   30,761 (29,583, 34,435)","3.6% (3.3%, 4.0%)"," 12,654 (11,648, 14,024)","1.4% (1.1%, 1.6%)","  5,040 (3,920, 5,583)","78.0% (75.2%, 79.3%)","67.9% (63.9%, 68.9%)","48.7% (42.9%, 49.4%)","30.5% (22.4%, 31.0%)"
0602252,37.9777042922,-121.796606971,CA,Antioch,111683,"0.74 (0.67, 0.86)","12.8% (12.3%, 15.3%)","   14,328 (13,740, 17,041)","7.5% (7.0%, 9.1%)","    8,396 (7,856, 10,119)","2.9% (2.5%, 3.5%)","  3,220 (2,774, 3,862)","1.1% (0.7%, 1.4%)","  1,251 (811, 1,575)","73.6% (68.8%, 77.4%)","62.7% (56.3%, 66.6%)","43.5% (35.1%, 46.7%)","27.0% (16.8%, 30.3%)"
0602364,34.5315984948,-117.211012664,CA,Apple Valley,73071,"1.31 (1.08, 1.56)","21.9% (20.8%, 24.6%)","   15,974 (15,164, 17,963)","14.5% (13.3%, 16.9%)","   10,624 (9,690, 12,321)","6.3% (5.2%, 7.6%)","  4,600 (3,820, 5,531)","2.7% (1.7%, 3.4%)","  1,947 (1,231, 2,501)","85.9% (81.5%, 88.6%)","77.2% (70.6%, 80.9%)","57.5% (47.3%, 62.6%)","38.1% (24.4%, 44.1%)"
0603526,35.3513302855,-119.029786003,CA,Bakersfield,380887,"1.06 (1, 1.13)","17.4% (17.5%, 19.1%)","   66,348 (66,722, 72,602)","11.1% (11.0%, 12.2%)","   42,443 (41,933, 46,479)","4.7% (4.5%, 5.2%)"," 18,040 (17,254, 19,686)","2.1% (1.8%, 2.3%)","  7,980 (6,920, 8,684)","83.4% (81.5%, 84.4%)","74.2% (71.2%, 75.3%)","55.6% (50.8%, 56.3%)","38.1% (31.1%, 38.6%)"
0604982,33.8880417923,-118.127100236,CA,Bellflower,77772,"1.15 (1, 1.35)","18.2% (17.7%, 21.0%)","   14,141 (13,779, 16,356)","11.2% (10.4%, 13.3%)","    8,682 (8,099, 10,349)","4.7% (4.3%, 5.6%)","  3,648 (3,346, 4,335)","2.3% (1.8%, 2.8%)","  1,793 (1,416, 2,177)","83.1% (79.1%, 86.0%)","73.7% (67.6%, 77.3%)","56.7% (48.8%, 60.2%)","42.1% (31.2%, 46.0%)"
0606000,37.8725678765,-122.274907975,CA,Berkeley,122334,"0.52 (0.48, 0.6)","10.3% (9.9%, 11.8%)","   12,605 (12,121, 14,401)","6.1% (5.7%, 7.1%)","    7,459 (7,013, 8,634)","2.0% (1.7%, 2.5%)","  2,490 (2,075, 3,008)","0.6% (0.3%, 0.8%)","    688 (408, 928)","71.9% (68.1%, 75.3%)","59.5% (54.8%, 63.3%)","35.6% (28.7%, 39.8%)","16.3% (9.4%, 20.4%)"
0608786,33.8572126844,-118.004517591,CA,Buena Park,83026,"0.85 (0.73, 0.98)","15.2% (14.3%, 17.6%)","   12,637 (11,912, 14,635)","9.6% (8.8%, 11.2%)","    7,935 (7,276, 9,322)","3.9% (3.1%, 4.6%)","  3,198 (2,580, 3,814)","1.4% (0.7%, 1.8%)","  1,125 (616, 1,458)","78.2% (73.1%, 81.4%)","67.9% (61.4%, 71.5%)","46.9% (36.6%, 50.9%)","26.4% (14.3%, 31.2%)"
0608954,34.1879799605,-118.323429032,CA,Burbank,104823,"0.89 (0.8, 1.02)","15.7% (15.3%, 17.8%)","   16,495 (15,989, 18,645)","10.1% (9.7%, 11.5%)","   10,628 (10,139, 12,088)","4.3% (3.7%, 4.9%)","  4,465 (3,895, 5,183)","1.5% (0.9%, 1.9%)","  1,530 (967, 1,977)","78.6% (74.8%, 81.6%)","69.0% (64.1%, 72.2%)","48.3% (40.4%, 52.3%)","26.4% (16.3%, 31.3%)"
0611194,33.1248051026,-117.282903303,CA,Carlsbad,115326,"0.91 (0.82, 1.05)","16.4% (15.9%, 18.7%)","   18,913 (18,284, 21,526)","11.0% (10.5%, 12.4%)","   12,632 (12,165, 14,277)","4.3% (3.6%, 5.2%)","  4,973 (4,161, 5,947)","1.2% (0.7%, 1.7%)","  1,362 (794, 1,917)","76.1% (72.8%, 79.2%)","66.8% (62.8%, 70.0%)","43.4% (35.5%, 48.4%)","19.5% (11.4%, 25.5%)"
0611530,33.8374083001,-118.255936422,CA,Carson,92736,"1.7 (1.5, 2)","26.6% (26.8%, 29.6%)","   24,713 (24,840, 27,494)","18.2% (17.6%, 20.7%)","   16,864 (16,358, 19,205)","8.4% (7.9%, 9.8%)","  7,788 (7,292, 9,129)","3.9% (3.1%, 4.8%)","  3,611 (2,878, 4,442)","89.0% (86.7%, 91.1%)","81.3% (77.2%, 84.3%)","63.4% (56.6%, 67.4%)","44.7% (34.2%, 49.8%)"
0613014,39.7568503668,-121.815983972,CA,Chico,93297,"0.85 (0.75, 0.98)","14.1% (13.4%, 15.8%)","   13,149 (12,517, 14,717)","9.2% (8.5%, 10.4%)","    8,536 (7,967, 9,665)","4.1% (3.6%, 4.7%)","  3,821 (3,404, 4,367)","1.6% (1.1%, 2.1%)","  1,534 (1,070, 1,927)","81.3% (77.4%, 84.0%)","72.4% (67.4%, 75.6%)","53.8% (46.6%, 57.9%)","33.5% (23.1%, 39.3%)"
0613210,33.983588126,-117.665296584,CA,Chino,89798,"0.91 (0.83, 1.06)","17.4% (17.2%, 19.9%)","   15,592 (15,414, 17,885)","10.3% (9.8%, 12.2%)","    9,280 (8,835, 10,999)","3.7% (3.3%, 4.5%)","  3,354 (2,966, 4,044)","1.4% (1.0%, 1.8%)","  1,274 (870, 1,609)","78.7% (75.1%, 82.1%)","66.8% (61.4%, 71.2%)","44.8% (36.8%, 48.9%)","27.1% (17.2%, 31.1%)"
0613214,33.950774546,-117.725326968,CA,Chino Hills,80400,"0.64 (0.59, 0.74)","13.0% (12.6%, 15.6%)","   10,442 (10,148, 12,556)","6.7% (6.3%, 8.4%)","    5,406 (5,030, 6,780)","2.0% (1.6%, 2.5%)","  1,574 (1,275, 2,000)","0.6% (0.3%, 0.8%)","    469 (246, 642)","66.7% (62.3%, 72.1%)","51.6% (45.7%, 57.4%)","29.2% (21.7%, 33.3%)","14.3% (7.0%, 17.5%)"
0613392,32.6282964262,-117.010042407,CA,Chula Vista,270450,"0.94 (0.87, 1.03)","16.5% (16.4%, 18.5%)","   44,705 (44,221, 49,950)","10.1% (9.8%, 11.4%)","   27,413 (26,585, 30,938)","4.1% (3.8%, 4.6%)"," 10,990 (10,165, 12,350)","1.7% (1.3%, 1.9%)","  4,482 (3,514, 5,058)","80.2% (77.6%, 81.8%)","69.7% (65.7%, 71.4%)","49.8% (43.8%, 51.1%)","31.9% (23.6%, 32.8%)"
0613588,38.6947788342,-121.287991502,CA,Citrus Heights,87924,"0.99 (0.85, 1.14)","17.4% (16.5%, 19.6%)","   15,322 (14,497, 17,252)","11.1% (10.2%, 12.8%)","    9,788 (9,008, 11,220)","4.6% (3.9%, 5.4%)","  4,048 (3,403, 4,723)","1.8% (1.1%, 2.2%)","  1,535 (949, 1,935)","81.0% (76.6%, 83.9%)","71.2% (65.1%, 74.7%)","50.6% (41.4%, 54.9%)","30.3% (18.7%, 35.6%)"
0614218,36.8289400179,-119.68665285,CA,Clovis,109700,"1.1 (0.98, 1.26)","17.9% (17.6%, 20.2%)","   19,643 (19,253, 22,132)","11.5% (11.0%, 13.1%)","   12,600 (12,077, 14,388)","5.1% (4.7%, 5.9%)","  5,578 (5,096, 6,413)","2.2% (1.6%, 2.6%)","  2,411 (1,793, 2,907)","82.6% (79.3%, 85.2%)","73.6% (68.8%, 76.6%)","55.5% (48.3%, 58.6%)","36.9% (26.6%, 41.0%)"
0615044,33.892965693,-118.227506568,CA,Compton,97626,"1.23 (1.02, 1.41)","19.1% (18.5%, 21.5%)","   18,662 (18,029, 21,004)","12.1% (10.8%, 14.0%)","   11,814 (10,512, 13,697)","5.1% (4.5%, 5.9%)","  4,986 (4,420, 5,789)","2.5% (2.0%, 3.0%)","  2,489 (1,945, 2,950)","85.4% (80.8%, 87.5%)","76.5% (69.1%, 79.3%)","59.2% (50.5%, 61.9%)","44.6% (32.6%, 47.4%)"
0616000,37.9721810307,-122.001588036,CA,Concord,129778,"0.83 (0.76, 0.94)","15.0% (14.5%, 17.0%)","   19,449 (18,836, 22,118)","9.6% (9.2%, 11.0%)","   12,502 (11,950, 14,231)","3.8% (3.2%, 4.4%)","  4,906 (4,199, 5,734)","1.2% (0.8%, 1.5%)","  1,577 (999, 1,997)","76.8% (73.4%, 79.4%)","66.9% (62.4%, 69.7%)","44.8% (37.0%, 48.4%)","23.4% (14.7%, 27.3%)"
0616350,33.8623571787,-117.564224471,CA,Corona,167843,"0.83 (0.78, 0.92)","14.7% (14.8%, 16.7%)","   24,707 (24,862, 27,993)","8.6% (8.5%, 9.9%)","   14,492 (14,195, 16,673)","3.3% (3.1%, 3.7%)","  5,486 (5,130, 6,258)","1.3% (1.1%, 1.6%)","  2,253 (1,779, 2,597)","76.9% (74.0%, 79.3%)","65.6% (61.2%, 68.2%)","45.9% (39.9%, 47.9%)","29.6% (21.8%, 31.5%)"
0616532,33.6667651353,-117.91350475,CA,Costa Mesa,113821,"0.67 (0.6, 0.77)","11.5% (10.9%, 13.2%)","   13,049 (12,443, 15,071)","7.2% (6.8%, 8.3%)","    8,187 (7,704, 9,450)","2.9% (2.5%, 3.4%)","  3,313 (2,836, 3,901)","1.0% (0.6%, 1.3%)","  1,142 (718, 1,479)","74.7% (70.4%, 77.7%)","64.8% (59.6%, 68.0%)","44.7% (36.7%, 48.5%)","24.7% (15.1%, 29.1%)"
0617918,37.6861552276,-122.468298024,CA,Daly City,107091,"0.73 (0.65, 0.83)","13.3% (12.6%, 15.2%)","   14,246 (13,510, 16,290)","8.4% (7.8%, 9.6%)","    9,007 (8,395, 10,246)","3.3% (2.6%, 3.8%)","  3,524 (2,791, 4,046)","1.0% (0.5%, 1.2%)","  1,072 (554, 1,330)","75.1% (70.4%, 77.7%)","64.9% (59.1%, 67.3%)","42.9% (32.9%, 45.7%)","21.2% (10.9%, 24.4%)"
0619766,33.937867256,-118.131150116,CA,Downey,113089,"1.32 (1.17, 1.49)","20.7% (20.6%, 23.0%)","   23,377 (23,307, 25,996)","12.9% (12.3%, 14.7%)","   14,563 (13,962, 16,615)","5.5% (5.2%, 6.3%)","  6,189 (5,832, 7,080)","2.8% (2.4%, 3.2%)","  3,129 (2,664, 3,612)","85.5% (82.8%, 87.5%)","76.4% (71.7%, 79.0%)","59.4% (53.1%, 61.7%)","45.0% (36.1%, 47.4%)"
0621712,32.8016581921,-116.960483614,CA,El Cajon,103906,"0.91 (0.77, 1.04)","14.5% (13.5%, 16.2%)","   15,077 (13,997, 16,860)","9.7% (8.9%, 10.9%)","   10,093 (9,254, 11,326)","4.5% (3.8%, 5.1%)","  4,635 (3,947, 5,303)","1.8% (1.2%, 2.2%)","  1,853 (1,203, 2,291)","81.8% (77.1%, 84.1%)","73.6% (67.8%, 76.3%)","55.3% (46.5%, 58.8%)","34.6% (22.5%, 39.5%)"
0622020,38.4159992006,-121.384137762,CA,Elk Grove,171831,"0.94 (0.88, 1.05)","16.6% (16.7%, 18.7%)","   28,590 (28,668, 32,133)","10.3% (10.1%, 11.7%)","   17,661 (17,387, 20,067)","4.2% (3.9%, 4.8%)","  7,253 (6,746, 8,225)","1.6% (1.2%, 1.9%)","  2,755 (2,088, 3,275)","78.6% (76.2%, 81.2%)","68.2% (64.5%, 71.0%)","48.4% (42.5%, 50.9%)","28.9% (21.2%, 31.9%)"
0622804,33.1346952955,-117.072122618,CA,Escondido,151979,"0.95 (0.84, 1.06)","15.0% (14.4%, 16.9%)","   22,851 (21,922, 25,679)","9.5% (8.9%, 10.7%)","   14,414 (13,516, 16,250)","4.2% (3.8%, 4.7%)","  6,383 (5,788, 7,175)","1.9% (1.4%, 2.2%)","  2,860 (2,155, 3,292)","81.0% (77.1%, 82.8%)","72.1% (66.8%, 73.9%)","55.0% (47.8%, 56.7%)","37.8% (27.6%, 39.8%)"
0623182,38.2558446343,-122.039303253,CA,Fairfield,116280,"0.84 (0.75, 0.97)","15.0% (14.4%, 17.2%)","   17,449 (16,745, 20,057)","9.4% (8.8%, 10.9%)","   10,903 (10,239, 12,659)","3.7% (3.2%, 4.4%)","  4,300 (3,729, 5,115)","1.4% (0.9%, 1.7%)","  1,573 (1,044, 2,001)","78.6% (74.7%, 81.7%)","68.2% (62.9%, 71.7%)","47.1% (39.2%, 51.0%)","27.6% (17.7%, 31.8%)"
0624638,38.6750494328,-121.147605753,CA,Folsom,78038,"0.79 (0.7, 0.92)","13.9% (13.2%, 16.3%)","   10,869 (10,326, 12,749)","8.6% (8.1%, 10.0%)","    6,676 (6,295, 7,842)","3.4% (2.9%, 4.1%)","  2,667 (2,236, 3,198)","1.1% (0.6%, 1.5%)","    850 (475, 1,179)","73.2% (68.8%, 77.5%)","62.7% (57.3%, 67.0%)","42.3% (33.7%, 46.9%)","21.6% (11.8%, 27.2%)"
